instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,initial_solution_obj_value,stopping_cause,execution_time,obj_value
G1_SC2_instance11-k5_f12_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0798,2784,0,92,2784,0,0,"{1: 836, 2: 928, 3: 928}",0.1700,43978,5645,2712,78016,928,12574,5645,106,2821,0.0246,2784,"{1: 928, 2: 928, 3: 928}",['346-0.08062s'],346,stop_cpu_time_limit,600.5896,346
G1_SC2_instance12-k5_f11_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1176,2790,2,92,2788,0,0,"{1: 839, 2: 930, 3: 929}",0.1687,45603,5531,2749,76000,929,9723,5531,13,2778,0.0260,2661,"{1: 931, 2: 930, 3: 929}","['253-0.11838s', '254-0.50681s', '280-27.75415s']",253,stop_cpu_time_limit,600.6809,280
G1_SC2_instance13-k10_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1322,3612,0,120,3612,0,0,"{1: 1084, 2: 1204, 3: 1204}",0.1609,11641,4425,3539,101768,1204,32700,4425,27,2139,0.0083,3612,"{1: 1204, 2: 1204, 3: 1204}",['208-0.13285s'],208,stop_cpu_time_limit,600.1056,208
G1_SC2_instance14-k10_f9_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0944,4429,3,145,4426,0,0,"{1: 1333, 2: 1476, 3: 1475}",0.1146,41850,8769,4819,103821,1475,45971,8769,88,4308,0.0121,3687,"{1: 1478, 2: 1476, 3: 1475}","['225-0.09502s', '228-79.36174s', '235-89.65841s', '254-92.93741s']",225,stop_cpu_time_limit,600.0761,254
G1_SC2_instance15-k10_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1452,3393,0,113,3393,0,0,"{1: 1018, 2: 1131, 3: 1131}",0.1453,43978,6415,3347,92972,1131,20331,6415,35,3097,0.0189,3393,"{1: 1131, 2: 1131, 3: 1131}",['209-0.14613s'],209,stop_cpu_time_limit,600.3353,209
G1_SC2_instance16-k10_f10_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1151,3573,0,119,3573,0,0,"{1: 1072, 2: 1191, 3: 1191}",0.1722,1010,403,3460,103028,1191,3028,403,6,180,0.0092,3573,"{1: 1191, 2: 1191, 3: 1191}",['210-0.11577s'],210,stop_cpu_time_limit,600.1531,210
G1_SC2_instance17-k10_f11_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1631,34,1,1,33,0,0,"{1: 11, 2: 11, 3: 11}",0.1844,288,45,33,979,11,166,45,3,24,0.0217,3,"{1: 12, 2: 11, 3: 11}","['247-0.16378s', '254-6.70432s']",247,stop_instance_optimum,7.3062,254
G1_SC2_instance18-k10_f12_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1628,2874,0,95,2874,0,0,"{1: 863, 2: 958, 3: 958}",0.1903,18042,5606,2798,81047,958,38132,5606,38,2822,0.0123,2874,"{1: 958, 2: 958, 3: 958}",['249-0.16351s'],249,stop_cpu_time_limit,600.2531,249
G1_SC3_instance1-k3_f6_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0401,5,1,0,4,0,0,"{1: 2, 2: 3}",0.1080,20,2,5,125,1,0,2,0,1,0.0177,3,"{1: 2, 2: 2, 3: 1}","['57-0.04063s', '96-0.25694s']",57,stop_instance_optimum,0.6177,96
G1_SC3_instance2-k3_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0373,5115,4,169,5111,0,0,"{1: 1538, 2: 1704, 3: 1704}",0.1139,9805,11047,5218,122513,1703,101804,11047,705,5492,0.0030,5100,"{1: 1707, 2: 1704, 3: 1704}","['148-0.03785s', '150-0.17978s', '160-0.30952s', '164-1.56186s', '170-1.88943s']",148,stop_cpu_time_limit,600.2418,170
