Item 123 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 124 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 125 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 126 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 127 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 128 - ['-0.0000', '-0.0000', '0.0647', '0.9353', '-0.0000']
Item 129 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 130 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 131 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 132 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 133 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 134 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 135 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 136 - ['-329.4958', '-329.4958', '-329.4958', '-329.4958', '-329.4958']
Item 137 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 138 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 139 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 140 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 141 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 142 - ['-445.2356', '-445.2356', '-445.2356', '-445.2356', '-445.2356']
Item 143 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 144 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 145 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 146 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 147 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 148 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 149 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 150 - ['-0.0000', '-0.0000', '-0.0000', '1.0000', '-0.0000']
Item 151 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 152 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 153 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 154 - ['-0.0000', '-0.0000', '-0.0000', '1.0000', '-0.0000']
Item 155 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 156 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 157 - ['-346.4037', '-346.4037', '-346.4037', '-346.4037', '-346.4037']
Item 158 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 159 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 160 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 161 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 162 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 163 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 164 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 165 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 166 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 167 - ['-145.8812', '-145.8812', '-145.8812', '-145.8812', '-145.8812']
Item 168 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 169 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 170 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 171 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 172 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 173 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 174 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 175 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 176 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 177 - ['-81.0768', '-81.0768', '-81.0768', '-81.0768', '-81.0768']
Item 178 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 179 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 180 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 181 - ['-493.1651', '-493.1651', '-493.1651', '-493.1651', '-493.1651']
Item 182 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 183 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 184 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 185 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 186 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 187 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 188 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 189 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 190 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 191 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 192 - ['-437.7362', '-437.7362', '-437.7362', '-437.7362', '-437.7362']
Item 193 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 194 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 195 - ['-0.0000', '-0.0000', '-0.0000', '1.0000', '-0.0000']
Item 196 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 197 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 198 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 199 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 200 - ['-0.0000', '-0.0000', '-0.0000', '0.3677', '-0.0000']
Item 201 - ['-0.0000', '-0.0000', '0.3677', '-0.0000', '-0.0000']
Item 202 - ['-0.0000', '0.3677', '-0.0000', '-0.0000', '-0.0000']
Item 203 - ['-0.0000', '0.3677', '-0.0000', '-0.0000', '-0.0000']
Item 204 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.3677']
Item 205 - ['-0.0000', '-0.0000', '-0.0000', '0.3677', '-0.0000']
Item 206 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.3677']
Item 207 - ['-0.0000', '0.3677', '-0.0000', '-0.0000', '-0.0000']
Item 208 - ['-0.0000', '-0.0000', '0.3677', '-0.0000', '-0.0000']
Item 209 - ['-0.0000', '0.3677', '-0.0000', '-0.0000', '-0.0000']
Item 210 - ['-0.0000', '-0.0000', '-0.0000', '0.7142', '-0.0000']
Item 211 - ['-0.0000', '-0.0000', '0.7142', '-0.0000', '-0.0000']
Item 212 - ['-0.0000', '-0.0000', '0.7142', '-0.0000', '-0.0000']
Item 213 - ['-0.0000', '-0.0000', '-0.0000', '0.7142', '-0.0000']
Item 214 - ['-0.0000', '0.7142', '-0.0000', '-0.0000', '-0.0000']
Item 215 - ['-0.0000', '0.7142', '-0.0000', '-0.0000', '-0.0000']
Item 216 - ['-0.0000', '-0.0000', '0.7142', '-0.0000', '-0.0000']
Item 217 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 218 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 219 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 220 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 221 - ['0.2800', '-0.0000', '-0.0000', '-0.0000', '0.7200']
Item 222 - ['-0.0000', '-0.0000', '-0.0000', '1.0000', '-0.0000']
Item 223 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 224 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 225 - ['-638.3590', '-638.3590', '-638.3590', '-638.3590', '-638.3590']
Item 226 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 227 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 228 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 229 - ['-0.0000', '0.6148', '-0.0000', '-0.0000', '-0.0000']
Item 230 - ['-0.0000', '-0.0000', '0.6148', '-0.0000', '-0.0000']
Item 231 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.6148']
Item 232 - ['-0.0000', '-0.0000', '0.6148', '-0.0000', '-0.0000']
Item 233 - ['-0.0000', '-0.0000', '-0.0000', '0.6148', '-0.0000']
Item 234 - ['-0.0000', '-0.0000', '0.6148', '-0.0000', '-0.0000']
Item 235 - ['-0.0000', '0.6148', '-0.0000', '-0.0000', '-0.0000']
Item 236 - ['-0.0000', '-0.0000', '0.6148', '-0.0000', '-0.0000']
Item 237 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.6148']
Item 238 - ['-0.0000', '-0.0000', '-0.0000', '0.6148', '-0.0000']
Item 239 - ['-0.0000', '0.7449', '0.2551', '-0.0000', '-0.0000']
Item 240 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 241 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 242 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 243 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 244 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 245 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 246 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 247 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 248 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 249 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 250 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 251 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 252 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 253 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 254 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 255 - ['-223.7400', '-223.7400', '-223.7400', '-223.7400', '-223.7400']
Item 256 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 257 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 258 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 259 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 260 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 261 - ['-69.7727', '-69.7727', '-69.7727', '-69.7727', '-69.7727']
Item 262 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 263 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 264 - ['-1119.2244', '-1119.2244', '-1119.2244', '-1119.2244', '-1119.2244']
Item 265 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 266 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 267 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 268 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 269 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 270 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 271 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 272 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 273 - ['-437.4510', '-437.4510', '-437.4510', '-437.4510', '-437.4510']
Item 274 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 275 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 276 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 277 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 278 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 279 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 280 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 281 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 282 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
